Munic°pio;UF
Teixeira de Freitas;BA
Teodoro Sampaio;BA
TeofilÉndia;BA
TeolÉndia;BA
Terra Nova;BA
Tremedal;BA
Tucano;BA
Uau†;BA
Uba°ra;BA
Ubaitaba;BA
Ubat∆;BA
Uiba°;BA
Umburanas;BA
Una;BA
Urandi;BA
Uruáuca;BA
Utinga;BA
Valenáa;BA
Valente;BA
V†rzea da Roáa;BA
V†rzea do Poáo;BA
V†rzea Nova;BA
Varzedo;BA
Vera Cruz;BA
Vereda;BA
Vit¢ria da Conquista;BA
Wagner;BA
Wanderley;BA
Wenceslau Guimar∆es;BA
Xique-xique;BA
Abadia Dos Dourados;MG
AbaetÇ;MG
Abre Campo;MG
Acaiaca;MG
Aáucena;MG
µgua Boa;MG
µgua Comprida;MG
Aguanil;MG
µguas Formosas;MG
µguas Vermelhas;MG
AimorÇs;MG
Aiuruoca;MG
Alagoa;MG
Albertina;MG
AlÇm Para°ba;MG
Alfenas;MG
Alfredo Vasconcelos;MG
Almenara;MG
Alpercata;MG
Alpin¢polis;MG
Alterosa;MG
Alto Capara¢;MG
Alto Rio Doce;MG
Alvarenga;MG
Alvin¢polis;MG
Alvorada de Minas;MG
Amparo do Serra;MG
Andradas;MG
Cachoeira de Paje£;MG
AndrelÉndia;MG
AngelÉndia;MG
Antìnio Carlos;MG
Antìnio Dias;MG
Antìnio Prado de Minas;MG
Araáa°;MG
Aracitaba;MG
Araáua°;MG
Araguari;MG
Arantina;MG
Araponga;MG
Arapor∆;MG
Arapu†;MG
Ara£jos;MG
Arax†;MG
Arceburgo;MG
Arcos;MG
Areado;MG
Argirita;MG
Aricanduva;MG
Arinos;MG
Astolfo Dutra;MG
AtalÇia;MG
Augusto de Lima;MG
Baependi;MG
Baldim;MG
Bambu°;MG
Bandeira;MG
Bandeira do Sul;MG
Bar∆o de Cocais;MG
Bar∆o de Monte Alto;MG
Barbacena;MG
Barra Longa;MG
Barroso;MG
Bela Vista de Minas;MG
Belmiro Braga;MG
Belo Horizonte;MG
Belo Oriente;MG
Belo Vale;MG
Berilo;MG
Bert¢polis;MG
Berizal;MG
Betim;MG
Bias Fortes;MG
Bicas;MG
Biquinhas;MG
Boa Esperanáa;MG
Bocaina de Minas;MG
Bocai£va;MG
Bom Despacho;MG
Bom Jardim de Minas;MG
Bom Jesus da Penha;MG
Bom Jesus do Amparo;MG
Bom Jesus do Galho;MG
Bom Repouso;MG
Bom Sucesso;MG
Bonfim;MG
Bonfin¢polis de Minas;MG
Bonito de Minas;MG
Borda da Mata;MG
Botelhos;MG
Botumirim;MG
BrasilÉndia de Minas;MG
Bras°lia de Minas;MG
Br†s Pires;MG
Bra£nas;MG
Bras¢polis;MG
Brumadinho;MG
Bueno Brand∆o;MG
Buen¢polis;MG
Bugre;MG
Buritis;MG
Buritizeiro;MG
Cabeceira Grande;MG
Cabo Verde;MG
Cachoeira da Prata;MG
Cachoeira de Minas;MG
Cachoeira Dourada;MG
Caetan¢polis;MG
CaetÇ;MG
Caiana;MG
Cajuri;MG
Caldas;MG
Camacho;MG
Camanducaia;MG
Cambu°;MG
Cambuquira;MG
Campan†rio;MG
Campanha;MG
Campestre;MG
Campina Verde;MG
Campo Azul;MG
Campo Belo;MG
Campo do Meio;MG
Campo Florido;MG
Campos Altos;MG
Campos Gerais;MG
Cana∆;MG
Can†polis;MG
Cana Verde;MG
Candeias;MG
Cantagalo;MG
Capara¢;MG
Capela Nova;MG
Capelinha;MG
Capetinga;MG
Capim Branco;MG
Capin¢polis;MG
Capit∆o Andrade;MG
Capit∆o EnÇas;MG
Capit¢lio;MG
Caputira;MG
Cara°;MG
Carana°ba;MG
Caranda°;MG
Carangola;MG
Caratinga;MG
Carbonita;MG
Careaáu;MG
Carlos Chagas;MG
CarmÇsia;MG
Carmo da Cachoeira;MG
Carmo da Mata;MG
Carmo de Minas;MG
Carmo do Cajuru;MG
Carmo do Parana°ba;MG
Carmo do Rio Claro;MG
Carm¢polis de Minas;MG
Carneirinho;MG
Carrancas;MG
Carvalh¢polis;MG
Carvalhos;MG
Casa Grande;MG
Cascalho Rico;MG
C†ssia;MG
Conceiá∆o da Barra de Minas;MG
Cataguases;MG
Catas Altas;MG
Catas Altas da Noruega;MG
Catuji;MG
Catuti;MG
Caxambu;MG
Cedro do AbaetÇ;MG
Central de Minas;MG
Centralina;MG
Ch†cara;MG
ChalÇ;MG
Chapada do Norte;MG
Chapada Ga£cha;MG
Chiador;MG
CipotÉnea;MG
Claraval;MG
Claro Dos Poá‰es;MG
Cl†udio;MG
Coimbra;MG
Coluna;MG
Comendador Gomes;MG
Comercinho;MG
Conceiá∆o da Aparecida;MG
Conceiá∆o Das Pedras;MG
Conceiá∆o Das Alagoas;MG
Conceiá∆o de Ipanema;MG
Conceiá∆o do Mato Dentro;MG
Conceiá∆o do Par†;MG
Conceiá∆o do Rio Verde;MG
Conceiá∆o Dos Ouros;MG
Cìnego Marinho;MG
Confins;MG
Congonhal;MG
Congonhas;MG
Congonhas do Norte;MG
Conquista;MG
Conselheiro Lafaiete;MG
Conselheiro Pena;MG
Consolaá∆o;MG
Contagem;MG
Coqueiral;MG
Coraá∆o de Jesus;MG
Cordisburgo;MG
CordislÉndia;MG
Corinto;MG
Coroaci;MG
Coromandel;MG
Coronel Fabriciano;MG
Coronel Murta;MG
Coronel Pacheco;MG
Coronel Xavier Chaves;MG
C¢rrego Danta;MG
C¢rrego do Bom Jesus;MG
C¢rrego Fundo;MG
C¢rrego Novo;MG
Couto de Magalh∆es de Minas;MG
Cris¢lita;MG
Cristais;MG
Crist†lia;MG
Cristiano Otoni;MG
Cristina;MG
CrucilÉndia;MG
Cruzeiro da Fortaleza;MG
Cruz°lia;MG
Cuparaque;MG
Curral de Dentro;MG
Curvelo;MG
Datas;MG
Delfim Moreira;MG
Delfin¢polis;MG
Delta;MG
Descoberto;MG
Desterro de Entre Rios;MG
Desterro do Melo;MG
Diamantina;MG
Diogo de Vasconcelos;MG
Dion°sio;MG
DivinÇsia;MG
Divino;MG
Divino Das Laranjeiras;MG
DivinolÉndia de Minas;MG
Divin¢polis;MG
Divisa Alegre;MG
Divisa Nova;MG
Divis¢polis;MG
Dom Bosco;MG
Dom Cavati;MG
Dom Joaquim;MG
Dom SilvÇrio;MG
Dom Viáoso;MG
Dona EusÇbia;MG
Dores de Campos;MG
Dores de Guanh∆es;MG
Dores do Indai†;MG
Dores do Turvo;MG
Dores¢polis;MG
Douradoquara;MG
DurandÇ;MG
El¢i Mendes;MG
Engenheiro Caldas;MG
Engenheiro Navarro;MG
Entre Folhas;MG
Entre Rios de Minas;MG
Erv†lia;MG
Esmeraldas;MG
Espera Feliz;MG
Espinosa;MG
Esp°rito Santo do Dourado;MG
Estiva;MG
Estrela Dalva;MG
Estrela do Indai†;MG
Estrela do Sul;MG
Eugen¢polis;MG
Ewbank da CÉmara;MG
Extrema;MG
Fama;MG
Faria Lemos;MG
Fel°cio Dos Santos;MG
S∆o Gonáalo do Rio Preto;MG
Felisburgo;MG
FelixlÉndia;MG
Fernandes Tourinho;MG
Ferros;MG
Fervedouro;MG
Florestal;MG
Formiga;MG
Formoso;MG
Fortaleza de Minas;MG
Fortuna de Minas;MG
Francisco Badar¢;MG
Francisco Dumont;MG
Francisco s†;MG
Francisc¢polis;MG
Frei Gaspar;MG
Frei Inocàncio;MG
Frei Lagonegro;MG
Fronteira;MG
Fronteira Dos Vales;MG
Fruta de Leite;MG
Frutal;MG
FunilÉndia;MG
GalilÇia;MG
Gameleiras;MG
GlaucilÉndia;MG
Goiabeira;MG
Goian†;MG
Gonáalves;MG
Gonzaga;MG
Gouveia;MG
Governador Valadares;MG
Gr∆o Mogol;MG
Grupiara;MG
Guanh∆es;MG
GuapÇ;MG
Guaraciaba;MG
Guaraciama;MG
GuaranÇsia;MG
Guarani;MG
Guarar†;MG
Guarda-mor;MG
GuaxupÇ;MG
Guidoval;MG
GuimarÉnia;MG
Guiricema;MG
Gurinhat∆;MG
Heliodora;MG
Iapu;MG
Ibertioga;MG
Ibi†;MG
Ibia°;MG
Ibiracatu;MG
Ibiraci;MG
IbiritÇ;MG
Ibiti£ra de Minas;MG
Ibituruna;MG
Icara° de Minas;MG
IgarapÇ;MG
Igaratinga;MG
Iguatama;MG
Ijaci;MG
Ilic°nea;MG
ImbÇ de Minas;MG
Inconfidentes;MG
Indaiabira;MG
Indian¢polis;MG
Inga°;MG
Inhapim;MG
Inha£ma;MG
Inimutaba;MG
Ipaba;MG
Ipanema;MG
Ipatinga;MG
Ipiaáu;MG
Ipui£na;MG
Ira° de Minas;MG
Itabira;MG
Itabirinha;MG
Itabirito;MG
Itacambira;MG
Itacarambi;MG
Itaguara;MG
ItaipÇ;MG
Itajub†;MG
Itamarandiba;MG
Itamarati de Minas;MG
Itambacuri;MG
ItambÇ do Mato Dentro;MG
Itamogi;MG
Itamonte;MG
Itanhandu;MG
Itanhomi;MG
Itaobim;MG
Itapagipe;MG
Itapecerica;MG
Itapeva;MG
Itatiaiuáu;MG
Ita£ de Minas;MG
Ita£na;MG
Itaverava;MG
Itinga;MG
Itueta;MG
Ituiutaba;MG
Itumirim;MG
Iturama;MG
Itutinga;MG
Jaboticatubas;MG
Jacinto;MG
Jacu°;MG
Jacutinga;MG
Jaguaraáu;MG
Ja°ba;MG
Jampruca;MG
Jana£ba;MG
Janu†ria;MG
Japara°ba;MG
Japonvar;MG
Jeceaba;MG
Jenipapo de Minas;MG
Jequeri;MG
Jequita°;MG
Jequitib†;MG
Jequitinhonha;MG
JesuÉnia;MG
Joa°ma;MG
JoanÇsia;MG
Jo∆o Monlevade;MG
Jo∆o Pinheiro;MG
Joaquim Fel°cio;MG
JordÉnia;MG
JosÇ Gonáalves de Minas;MG
JosÇ Raydan;MG
Josen¢polis;MG
Nova Uni∆o;MG
Juatuba;MG
Juiz de Fora;MG
Juramento;MG
Juruaia;MG
Juven°lia;MG
Ladainha;MG
Lagamar;MG
Lagoa da Prata;MG
Lagoa Dos Patos;MG
Lagoa Dourada;MG
Lagoa Formosa;MG
Lagoa Grande;MG
Lagoa Santa;MG
Lajinha;MG
Lambari;MG
Lamim;MG
Laranjal;MG
Lassance;MG
Lavras;MG
Leandro Ferreira;MG
Leme do Prado;MG
Leopoldina;MG
Liberdade;MG
Lima Duarte;MG
Limeira do Oeste;MG
Lontra;MG
Luisburgo;MG
LuislÉndia;MG
Lumin†rias;MG
Luz;MG
Machacalis;MG
Machado;MG
Madre de Deus de Minas;MG
Malacacheta;MG
Mamonas;MG
Manga;MG
Manhuaáu;MG
Manhumirim;MG
Mantena;MG
Maravilhas;MG
Mar de Espanha;MG
Maria da fÇ;MG
Mariana;MG
Marilac;MG
M†rio Campos;MG
Marip† de Minas;MG
MarliÇria;MG
Marmel¢polis;MG
Martinho Campos;MG
Martins Soares;MG
Mata Verde;MG
MaterlÉndia;MG
Mateus Leme;MG
Matias Barbosa;MG
Matias Cardoso;MG
Matip¢;MG
Mato Verde;MG
Matozinhos;MG
Matutina;MG
Medeiros;MG
Medina;MG
Mendes Pimentel;MG
Mercàs;MG
Mesquita;MG
Minas Novas;MG
Minduri;MG
Mirabela;MG
Miradouro;MG
Mira°;MG
MiravÉnia;MG
Moeda;MG
Moema;MG
Monjolos;MG
Monsenhor Paulo;MG
MontalvÉnia;MG
Monte Alegre de Minas;MG
Monte Azul;MG
Monte Belo;MG
Monte Carmelo;MG
Monte Formoso;MG
Monte Santo de Minas;MG
Montes Claros;MG
Monte Si∆o;MG
Montezuma;MG
Morada Nova de Minas;MG
Morro da Garáa;MG
Morro do Pilar;MG
Munhoz;MG
MuriaÇ;MG
Mutum;MG
Muzambinho;MG
Nacip Raydan;MG
Nanuque;MG
Naque;MG
NatalÉndia;MG
NatÇrcia;MG
Nazareno;MG
Nepomuceno;MG
Ninheira;MG
Nova BelÇm;MG
Nova Era;MG
Nova Lima;MG
Nova M¢dica;MG
Nova Ponte;MG
Nova Porteirinha;MG
Nova Resende;MG
Nova Serrana;MG
Novo Cruzeiro;MG
Novo Oriente de Minas;MG
Novorizonte;MG
Olaria;MG
Olhos-dÔ†gua;MG
Ol°mpio Noronha;MG
Oliveira;MG
Oliveira Fortes;MG
Onáa de Pitangui;MG
Orat¢rios;MG
OrizÉnia;MG
Ouro Branco;MG
Ouro Fino;MG
Ouro Preto;MG
Ouro Verde de Minas;MG
Padre Carvalho;MG
Padre Para°so;MG
Paineiras;MG
Pains;MG
Pai Pedro;MG
Paiva;MG
Palma;MG
Palm¢polis;MG
Papagaios;MG
Paracatu;MG
Par† de Minas;MG
Paraguaáu;MG
Parais¢polis;MG
Paraopeba;MG
PassabÇm;MG
Passa Quatro;MG
Passa Tempo;MG
Passa-vinte;MG
Passos;MG
Patis;MG
Patos de Minas;MG
Patroc°nio;MG
Patroc°nio do MuriaÇ;MG
Paula CÉndido;MG
Paulistas;MG
Pav∆o;MG
Peáanha;MG
Pedra Azul;MG
Pedra Bonita;MG
Pedra do Anta;MG
Pedra do Indai†;MG
Pedra Dourada;MG
Pedralva;MG
Pedras de Maria da Cruz;MG
Pedrin¢polis;MG
Pedro Leopoldo;MG
Pedro Teixeira;MG
Pequeri;MG
Pequi;MG
Perdig∆o;MG
Perdizes;MG
Perd‰es;MG
Periquito;MG
Pescador;MG
Piau;MG
Piedade de Caratinga;MG
Piedade de Ponte Nova;MG
Piedade do Rio Grande;MG
Piedade Dos Gerais;MG
Pimenta;MG
Pingo-dÔ†gua;MG
Pint¢polis;MG
Piracema;MG
Pirajuba;MG
Piranga;MG
Piranguáu;MG
Piranguinho;MG
Pirapetinga;MG
Pirapora;MG
Pira£ba;MG
Pitangui;MG
Piumhi;MG
Planura;MG
Poáo Fundo;MG
Poáos de Caldas;MG
Pocrane;MG
PompÇu;MG
Ponte Nova;MG
Ponto Chique;MG
Ponto Dos Volantes;MG
Porteirinha;MG
Porto Firme;MG
PotÇ;MG
Pouso Alegre;MG
Pouso Alto;MG
Prados;MG
Prata;MG
Prat†polis;MG
Pratinha;MG
Presidente Bernardes;MG
Presidente Juscelino;MG
Presidente Kubitschek;MG
Presidente Oleg†rio;MG
Alto Jequitib†;MG
Prudente de Morais;MG
Quartel Geral;MG
Queluzito;MG
Raposos;MG
Raul Soares;MG
Recreio;MG
Reduto;MG
Resende Costa;MG
Resplendor;MG
Ressaquinha;MG
Riachinho;MG
Riacho Dos Machados;MG
Ribeir∆o Das Neves;MG
Ribeir∆o Vermelho;MG
Rio Acima;MG
Rio Casca;MG
Rio Doce;MG
Rio do Prado;MG
Rio Espera;MG
Rio Manso;MG
Rio Novo;MG
Rio Parana°ba;MG
Rio Pardo de Minas;MG
Rio Piracicaba;MG
Rio Pomba;MG
Rio Preto;MG
Rio Vermelho;MG
Rit†polis;MG
Rochedo de Minas;MG
Rodeiro;MG
Romaria;MG
Ros†rio da Limeira;MG
Rubelita;MG
Rubim;MG
Sabar†;MG
Sabin¢polis;MG
Sacramento;MG
Salinas;MG
Salto da Divisa;MG
Santa B†rbara;MG
Santa B†rbara do Leste;MG
Santa B†rbara do Monte Verde;MG
Santa B†rbara do Tug£rio;MG
Santa Cruz de Minas;MG
Santa Cruz de Salinas;MG
Santa Cruz do Escalvado;MG
Santa Efigània de Minas;MG
Santa fÇ de Minas;MG
Santa Helena de Minas;MG
Santa Juliana;MG
Santa Luzia;MG
Santa Margarida;MG
Santa Maria de Itabira;MG
Santa Maria do Salto;MG
Santa Maria do Suaáu°;MG
Santana da Vargem;MG
Santana de Cataguases;MG
Santana de Pirapama;MG
Santana do Deserto;MG
Santana do GarambÇu;MG
Santana do JacarÇ;MG
Santana do Manhuaáu;MG
Santana do Para°so;MG
Santana do Riacho;MG
Santana Dos Montes;MG
Santa Rita de Caldas;MG
Santa Rita de Jacutinga;MG
Santa Rita de Minas;MG
Santa Rita de Ibitipoca;MG
Santa Rita do Itueto;MG
Santa Rita do Sapuca°;MG
Santa Rosa da Serra;MG
Santa Vit¢ria;MG
Santo Antìnio do Amparo;MG
Santo Antìnio do Aventureiro;MG
Santo Antìnio do Grama;MG
Santo Antìnio do ItambÇ;MG
Santo Antìnio do Jacinto;MG
Santo Antìnio do Monte;MG
Santo Antìnio do Retiro;MG
Santo Antìnio do Rio Abaixo;MG
Santo Hip¢lito;MG
Santos Dumont;MG
S∆o Bento Abade;MG
S∆o Br†s do Suaáu°;MG
S∆o Domingos Das Dores;MG
S∆o Domingos do Prata;MG
S∆o FÇlix de Minas;MG
S∆o Francisco;MG
S∆o Francisco de Paula;MG
S∆o Francisco de Sales;MG
S∆o Francisco do Gl¢ria;MG
S∆o Geraldo;MG
S∆o Geraldo da Piedade;MG
S∆o Geraldo do Baixio;MG
S∆o Gonáalo do AbaetÇ;MG
S∆o Gonáalo do Par†;MG
S∆o Gonáalo do Rio Abaixo;MG
S∆o Gonáalo do Sapuca°;MG
S∆o Gotardo;MG
S∆o Jo∆o Batista do Gl¢ria;MG
S∆o Jo∆o da Lagoa;MG
S∆o Jo∆o da Mata;MG
S∆o Jo∆o da Ponte;MG
S∆o Jo∆o Das Miss‰es;MG
S∆o Jo∆o Del Rei;MG
S∆o Jo∆o do Manhuaáu;MG
S∆o Jo∆o do Manteninha;MG
S∆o Jo∆o do Oriente;MG
S∆o Jo∆o do Pacu°;MG
S∆o Jo∆o do Para°so;MG
S∆o Jo∆o Evangelista;MG
S∆o Jo∆o Nepomuceno;MG
S∆o Joaquim de Bicas;MG
S∆o JosÇ da Barra;MG
S∆o JosÇ da Lapa;MG
S∆o JosÇ da Safira;MG
S∆o JosÇ da Varginha;MG
S∆o JosÇ do Alegre;MG
S∆o JosÇ do Divino;MG
S∆o JosÇ do Goiabal;MG
S∆o JosÇ do Jacuri;MG
S∆o JosÇ do Mantimento;MG
S∆o Lourenáo;MG
S∆o Miguel do Anta;MG
S∆o Pedro da Uni∆o;MG
S∆o Pedro Dos Ferros;MG
S∆o Pedro do Suaáu°;MG
S∆o Rom∆o;MG
S∆o Roque de Minas;MG
S∆o Sebasti∆o da Bela Vista;MG
S∆o Sebasti∆o da Vargem Alegre;MG
S∆o Sebasti∆o do Anta;MG
S∆o Sebasti∆o do Maranh∆o;MG
S∆o Sebasti∆o do Oeste;MG
S∆o Sebasti∆o do Para°so;MG
S∆o Sebasti∆o do Rio Preto;MG
S∆o Sebasti∆o do Rio Verde;MG
S∆o Tiago;MG
S∆o Tom†s de Aquino;MG
S∆o ThomÇ Das Letras;MG
S∆o Vicente de Minas;MG
Sapuca°-mirim;MG
Sardo†;MG
Sarzedo;MG
Setubinha;MG
Sem-peixe;MG
Senador Amaral;MG
Senador Cortes;MG
Senador Firmino;MG
Senador JosÇ Bento;MG
Senador Modestino Gonáalves;MG
Senhora de Oliveira;MG
Senhora do Porto;MG
Senhora Dos RemÇdios;MG
Sericita;MG
Seritinga;MG
Serra Azul de Minas;MG
Serra da Saudade;MG
Serra Dos AimorÇs;MG
Serra do Salitre;MG
Serrania;MG
Serran¢polis de Minas;MG
Serranos;MG
Serro;MG
Sete Lagoas;MG
SilveirÉnia;MG
Silvian¢polis;MG
Sim∆o Pereira;MG
SimonÇsia;MG
Sobr†lia;MG
Soledade de Minas;MG
Tabuleiro;MG
Taiobeiras;MG
Taparuba;MG
Tapira;MG
Tapira°;MG
Taquaraáu de Minas;MG
Tarumirim;MG
Teixeiras;MG
Te¢filo Otoni;MG
Tim¢teo;MG
Tiradentes;MG
Tiros;MG
Tocantins;MG
Tocos do Moji;MG
Toledo;MG
Tombos;MG
Tràs Coraá‰es;MG
Tràs Marias;MG
Tràs Pontas;MG
Tumiritinga;MG
Tupaciguara;MG
Turmalina;MG
TurvolÉndia;MG
Ub†;MG
Uba°;MG
Ubaporanga;MG
Uberaba;MG
UberlÉndia;MG
Umburatiba;MG
Una°;MG
Uni∆o de Minas;MG
Uruana de Minas;MG
UrucÉnia;MG
Urucuia;MG
Vargem Alegre;MG
Vargem Bonita;MG
Vargem Grande do Rio Pardo;MG
Varginha;MG
Varj∆o de Minas;MG
V†rzea da Palma;MG
VarzelÉndia;MG
Vazante;MG
VerdelÉndia;MG
Veredinha;MG
Ver°ssimo;MG
Vermelho Novo;MG
Vespasiano;MG
Viáosa;MG
Vieiras;MG
Mathias Lobato;MG
Virgem da Lapa;MG
Virg°nia;MG
Virgin¢polis;MG
VirgolÉndia;MG
Visconde do Rio Branco;MG
Volta Grande;MG
Wenceslau Braz;MG
Afonso Cl†udio;ES
µguia Branca;ES
µgua Doce do Norte;ES
Alegre;ES
Alfredo Chaves;ES
Alto Rio Novo;ES
Anchieta;ES
Apiac†;ES
Aracruz;ES
Atilio Vivacqua;ES
Baixo Guandu;ES
Barra de S∆o Francisco;ES
Boa Esperanáa;ES
Bom Jesus do Norte;ES
Brejetuba;ES
Cachoeiro de Itapemirim;ES
Cariacica;ES
Castelo;ES
Colatina;ES
Conceiá∆o da Barra;ES
Conceiá∆o do Castelo;ES
Divino de S∆o Lourenáo;ES
Domingos Martins;ES
Dores do Rio Preto;ES
Ecoporanga;ES
Fund∆o;ES
Governador Lindenberg;ES
Guaáu°;ES
Guarapari;ES
Ibatiba;ES
Ibiraáu;ES
Ibitirama;ES
Iconha;ES
Irupi;ES
Itaguaáu;ES
Itapemirim;ES
Itarana;ES
I£na;ES
JaguarÇ;ES
Jerìnimo Monteiro;ES
Jo∆o Neiva;ES
Laranja da Terra;ES
Linhares;ES
Manten¢polis;ES
Marata°zes;ES
Marechal Floriano;ES
MarilÉndia;ES
Mimoso do Sul;ES
Montanha;ES
Mucurici;ES
Muniz Freire;ES
Muqui;ES
Nova VenÇcia;ES
Pancas;ES
Pedro Can†rio;ES
Pinheiros;ES
Pi£ma;ES
Ponto Belo;ES
Presidente Kennedy;ES
Rio Bananal;ES
Rio Novo do Sul;ES
Santa Leopoldina;ES
Santa Maria de Jetib†;ES
Santa Teresa;ES
S∆o Domingos do Norte;ES
S∆o Gabriel da Palha;ES
S∆o JosÇ do Caláado;ES
S∆o Mateus;ES
S∆o Roque do Cana∆;ES
Serra;ES
Sooretama;ES
Vargem Alta;ES
Venda Nova do Imigrante;ES
Viana;ES
Vila Pav∆o;ES
Vila ValÇrio;ES
Vila Velha;ES
Vit¢ria;ES
Angra Dos Reis;RJ
AperibÇ;RJ
Araruama;RJ
Areal;RJ
Armaá∆o Dos B£zios;RJ
Arraial do Cabo;RJ
Barra do Pira°;RJ
Barra Mansa;RJ
Belford Roxo;RJ
Bom Jardim;RJ
Bom Jesus do Itabapoana;RJ
Cabo Frio;RJ
Cachoeiras de Macacu;RJ
Cambuci;RJ
Carapebus;RJ
Comendador Levy Gasparian;RJ
Campos Dos Goytacazes;RJ
Cantagalo;RJ
Cardoso Moreira;RJ
Carmo;RJ
Casimiro de Abreu;RJ
Conceiá∆o de Macabu;RJ
Cordeiro;RJ
Duas Barras;RJ
Duque de Caxias;RJ
Engenheiro Paulo de Frontin;RJ
Guapimirim;RJ
Iguaba Grande;RJ
Itabora°;RJ
Itagua°;RJ
Italva;RJ
Itaocara;RJ
Itaperuna;RJ
Itatiaia;RJ
Japeri;RJ
Laje do MuriaÇ;RJ
MacaÇ;RJ
Macuco;RJ
MagÇ;RJ
Mangaratiba;RJ
Maric†;RJ
Mendes;RJ
Mesquita;RJ
Miguel Pereira;RJ
Miracema;RJ
Natividade;RJ
Nil¢polis;RJ
Niter¢i;RJ
Nova Friburgo;RJ
Nova Iguaáu;RJ
Paracambi;RJ
Para°ba do Sul;RJ
Parati;RJ
Paty do Alferes;RJ
Petr¢polis;RJ
Pinheiral;RJ
Pira°;RJ
Porci£ncula;RJ
Porto Real;RJ
Quatis;RJ
Queimados;RJ
Quissam∆;RJ
Resende;RJ
Rio Bonito;RJ
Rio Claro;RJ
Rio Das Flores;RJ
Rio Das Ostras;RJ
Rio de Janeiro;RJ
Santa Maria Madalena;RJ
Santo Antìnio de P†dua;RJ
S∆o Francisco de Itabapoana;RJ
S∆o FidÇlis;RJ
S∆o Gonáalo;RJ
S∆o Jo∆o da Barra;RJ
S∆o Jo∆o de Meriti;RJ
S∆o JosÇ de Ub†;RJ
S∆o JosÇ do Vale do Rio Preto;RJ
S∆o Pedro da Aldeia;RJ
S∆o Sebasti∆o do Alto;RJ
Sapucaia;RJ
Saquarema;RJ
SeropÇdica;RJ
Silva Jardim;RJ
Sumidouro;RJ
Tangu†;RJ
Teres¢polis;RJ
Trajano de Morais;RJ
Tràs Rios;RJ
Valenáa;RJ
Varre-sai;RJ
Vassouras;RJ
Volta Redonda;RJ
Adamantina;SP
Adolfo;SP
Agua°;SP
µguas da Prata;SP
µguas de Lind¢ia;SP
µguas de Santa B†rbara;SP
µguas de S∆o Pedro;SP
Agudos;SP
Alambari;SP
Alfredo Marcondes;SP
Altair;SP
Altin¢polis;SP
Alto Alegre;SP
Alum°nio;SP
µlvares Florence;SP
µlvares Machado;SP
µlvaro de Carvalho;SP
AlvinlÉndia;SP
Americana;SP
AmÇrico Brasiliense;SP
AmÇrico de Campos;SP
Amparo;SP
AnalÉndia;SP
Andradina;SP
Angatuba;SP
Anhembi;SP
Anhumas;SP
Aparecida;SP
Aparecida DÔoeste;SP
Apia°;SP
Araáariguama;SP
Araáatuba;SP
Araáoiaba da Serra;SP
Aramina;SP
Arandu;SP
Arape°;SP
Araraquara;SP
Araras;SP
Arco-°ris;SP
Arealva;SP
Areias;SP
Arei¢polis;SP
Ariranha;SP
Artur Nogueira;SP
Aruj†;SP
Asp†sia;SP
Assis;SP
Atibaia;SP
Auriflama;SP
Ava°;SP
